date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 22:45:57,Devjous,Devjous,1,0,0,"I wanna see you renegade on everyone now",,,,1237872419236265986,https://twitter.com/Devjous/status/1237872419236265986
2020-03-11 22:45:55,YoRHaKID,,0,0,2,"Just watched Portrait of a Lady on Fire, and it was phenomenal! Honestly, I even consider this film as the best film of 2019, even better than Parasite in some aspects. I might have to rewatch both, but, gosh, Portrait is something special I didn't even expect to be THAT good. pic.twitter.com/TQTKJsjbjB",,,,1237872406896640000,https://twitter.com/YoRHaKID/status/1237872406896640000
2020-03-11 22:45:42,DinghoAteMyBaby,EdbrohamLincoln,0,0,1,"I mean... he IS an effective parasite, so he’s got that going for him.",,,,1237872356229443589,https://twitter.com/DinghoAteMyBaby/status/1237872356229443589
2020-03-11 22:45:12,theyoungdoyler,,1,0,29,"I wonder why outlining birdsong has been so tricky lately... [remembers it's about a disillusioned old man losing a war with himself over whether to give up and be the vector of this parasite that will spread to all of humanity or fight it even though it's futile] oh yeah",,,,1237872228978413568,https://twitter.com/theyoungdoyler/status/1237872228978413568
2020-03-11 22:44:12,Devjous,SeMThePluG_,1,0,1,"Oh no",,,,1237871976909123584,https://twitter.com/Devjous/status/1237871976909123584
2020-03-11 22:44:07,Matt_MicroB,tassiadovale,0,0,0,"No set temperature tassia however this would be dependent on the rigidity of your parasite, 20° Degress warm water water work incredibly well for lungworm larva",,,,1237871955065204737,https://twitter.com/Matt_MicroB/status/1237871955065204737
2020-03-11 22:43:46,NHMezz,Parasite,0,0,0,"Let it go brotha, stay in your lane and grind. You might now be were you want to be right now. But that doesn’t define you as a player man, tons of talent weird decisions on pro teams you’ll get your shot at the top again. Let it all play out",,,,1237871865785241601,https://twitter.com/NHMezz/status/1237871865785241601
2020-03-11 22:43:08,Tweddmeister,Tweddmeister,0,0,0,"But I won’t make it easy for them. Nobody owes them a vote. RLB, that idiot Burgon et al are a continuation of the parasite that’s taken control. They need their stamp expunging from the party. Then and only then, it might find a new way to represent those that need it.",,,,1237871709056794624,https://twitter.com/Tweddmeister/status/1237871709056794624
2020-03-11 22:42:34,alxndrlov,,0,0,1,"Parasite is a Good Film.",,,,1237871564474863617,https://twitter.com/alxndrlov/status/1237871564474863617
2020-03-11 22:42:26,kur0p0p,,0,0,2,"Shdjshx I like Parasite a lot more thinking back on it I really wish I had a better experience with the movie upfront",,,,1237871530740051970,https://twitter.com/kur0p0p/status/1237871530740051970
2020-03-11 22:41:18,MadmanFilms,,0,0,3,"Whilst some hoard their toilet paper, other benevolent souls like the legendary @AvocaTheatre are dishing out double quilted like a TP Fairy from heaven. Watch @ParasiteMovie & score a dunny roll. Genius! pic.twitter.com/eMdqV2MXdU",,@AvocaTheatre @ParasiteMovie,,1237871247255408640,https://twitter.com/MadmanFilms/status/1237871247255408640
2020-03-11 22:40:50,ElectricSheep_4,,0,0,0,"Just realized the brother from Parasite is in Train to Busan",,,,1237871131241021443,https://twitter.com/ElectricSheep_4/status/1237871131241021443
